PROCESS	PATTERN	QUERY	FILTERED_SENTENCE
absorption	<process name> causes *	absorption causes *	The strong absorption causes the m lines to broaden, leading to larger measurement errors, as is seen from the broadened error bars in Fig.
absorption	<process name> causes *	absorption causes *	the energy absorption causes transitions that occur between elec- tronic energy levels of valence electrons, that is, orbitals of lower energy are excited to orbitals...
absorption	<process name> causes *	absorption causes *	Jan 9, 2013 ... Several reports showed that Glycine absorption causes echocardiogram changes, it is associated with subacute effects on the myocardium,...
absorption	<process name> causes *	absorption causes *	The higher absorption causes the unabsorbed line intensity to be more than two orders of magnitude higher with the EW (relative to the bright high NH...
absorption	<process name> causes *	absorption causes *	This absorption causes the spectrum to darken over a small range of wavelengths (several tenths of a nanometer).
absorption	<process name> causes *	absorption causes *	high rate of absorption causes a varying gas rate throughout the tower.
absorption	<process name> causes *	absorption causes *	"This photonic absorption causes the spectrum of emitted light to have ""missing pieces"" known as absorption bands."
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	Sometimes, absorption depends on factors such as im- pinging frequency and size of crystals [32].
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	Absorption depends on factors such as the levels of competing minerals and parathyroid hormone levels.
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	The rate of absorption depends on factors such as the presence of food in the intestine, the particle size of the drug preparation, and the acidity of intestinal...
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	Aug 22, 2003 ... Clearly, one must not lose sight of the fact that oil absorption depends on factors such as oil quality, frying time, oil and food temperature, shape...
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	Apr 21, 2015 ... ... while access largely depends on employment and purchasing power, absorption depends on factors such as hygiene, sanitation and health.
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	Apr 28, 2008 ... absorption depends on factors such as drug potency, the duration of application and whether the skin is thin or damaged.
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	The degree of potential enhancement in light absorption depends on factors such as the position of the soot particle within the coating (Fuller et.
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	to only 30% of the amount in the diet3 and its absorption depends on factors such as gastric acidity, which has been mentioned as an indispensable factor in the...
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	Apr 30, 2002 ... electromagnetic radiation is absorbed by air and that the degree of absorption depends on factors such as the atmo spheric pressure, humidity...
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	Jul 10, 2015 ... ... shock absorption depends on factors such as time, segment kinematics, tissue compressibility and elasticity, and vision preceding the impact.
absorption	<process name> depends on factors such as *	absorption depends on factors such as *	The rate of absorption depends on factors such as the presence of food in the intestine, the particle size of the drug preparation, and the acidity...
absorption	<process name> helps to *	absorption helps to *	The absorption helps to understand the light emission properties of these materials.
absorption	<process name> helps to *	absorption helps to *	The impact absorption helps to reduce foot, leg and lower back fatigue.
absorption	<process name> is caused by *	absorption is caused by *	Drude absorption is caused by indirect intraband optical...
absorption	<process name> is caused by *	absorption is caused by *	absorption is caused by discrete, compact clouds.
absorption	<process name> is caused by *	absorption is caused by *	In the laboratory condensate, the 6.8 ~tm absorption is caused by adsorbed CH3OH, but other adsorbed molecules with appropriate functional groups may also...
absorption	<process name> is caused by *	absorption is caused by *	This excess absorption is caused by another absorber located along the line of sight to the quasar, which is usually extragalactic.
absorption	<process name> is caused by *	absorption is caused by *	Jan 31, 2014 ... termine how much of the absorption is caused by hydrox- ide contained in organic matter (direct relationship) and how much of the absorption...
absorption	<process name> is caused by *	absorption is caused by *	Effective absorption is caused by unavoidable parasitic reflections.
absorption	<process name> is caused by *	absorption is caused by *	Oct 3, 2014 ... Light absorption is caused by several things, such as the light being converted into heat or used in chemical reactions such as photosynthesis.
absorption	<process name> is caused by *	absorption is caused by *	Oct 11, 2010 ... at z > 2.5 the majority of the soft X-ray absorption is caused by other heavier elements.
absorption	<process name> is caused by *	absorption is caused by *	Dec 11, 2013 ... lieved that the reduction in calcium absorption is caused by reduced levels of calcitriol that result from a substrate deficiency of 25(OH)D. It is...
absorption	<process name> is caused by *	absorption is caused by *	This absorption is caused by defect levels inside the band gap.
absorption	<process name> is caused by *	absorption is caused by *	In this range the absorption is caused by interaction of the propagating electromagnetic radiation with the magnetic dipole moment of molecular oxygen and the...
absorption	<process name> is caused by *	absorption is caused by *	Jan 4, 2001 ... material causing the absorption is caused by extended galactic halos (Bahcall & Spitzer 1969), or by dwarf galaxies in the vicinity of a larger...
absorption	<process name> is caused by *	absorption is caused by *	This absorption is caused by the presence of the -OH atomic bond, that is, the presence of water.
absorption	<process name> is caused by *	absorption is caused by *	Eating clay has been associated with iron deficiency; however, whether decreased iron absorption is caused by eating clay or whether iron deficiency prompts...
absorption	<process name> is caused by *	absorption is caused by *	May 12, 2015 ... We assume that all absorption is caused by sC, BrC, hematite, and goethite, and that therefore the host species is non-absorbing (i.e.
absorption	<process name> is caused by *	absorption is caused by *	Nov 26, 2014 ... Hysteresis absorption is caused by physical relaxation mechanism and it typically occurs in single crystals, amorphous solids, and especially...
absorption	<process name> is caused by *	absorption is caused by *	What percent of HC08- absorption is caused by H+ secretion?
absorption	<process name> is caused by *	absorption is caused by *	of the entire absorption is caused by the activity of the villi.
absorption	<process name> is caused by *	absorption is caused by *	Aug 28, 2014 ... Little effect on sound absorption is caused by humidity for thin layers of the material.
absorption	<process name> is caused by *	absorption is caused by *	The absorption is caused by the absorption of the light and conversion to heat by molecules in the glass.
absorption	<process name> is caused by *	absorption is caused by *	The excess iron absorption is caused by your body trying to compensate for the lack of red blood cells by absorbing more iron to try to make...
absorption	<process name> is caused by *	absorption is caused by *	Eating fishes containing microbial thiaminase, it hydrolytically destroys thiamin Impaired absorption is caused by intestinal diaorders...
absorption	<process name> is caused by *	absorption is caused by *	compressional wave absorption is caused by internal relax- ations, and do not allow for the possibility of internal fric- tion.
absorption	<process name> is the *	absorption is the *	absorption is the initial and hence a crucial step of this pho- torefractive process.4.
absorption	<process name> is the *	absorption is the *	Sep 2, 2010 ... Absorption of Drugs <ul><li>Absorption is the transfer of a drug from its site of administration to the blood stream </li></ul><ul><li>Most of drugs...
absorption	<process name> is the *	absorption is the *	Dermal absorption is the transport of a chemical from the outer surface of the skin both into the skin and into the body.
absorption	<process name> is the *	absorption is the *	"The Absorption is the ""missing piece"", when comparing the total reflected and transmitted energy with the incident energy."
absorption	<process name> is the *	absorption is the *	ethanol monitoring of absorption is the possibility for the training resectionist to correlate visual obser- vations from the operating field with the information.
absorption	<process name> is the *	absorption is the *	It is interesting to note that the low Km analogue of SGLT1 in fructose absorption is the facilitative transporter GLUT5; a secondary active mechanism is not...
absorption	<process name> is the *	absorption is the *	Drug absorption is the movement of a drug into the bloodstream after administration.
absorption	<process name> is the *	absorption is the *	In this case the background absorption is the same for both the samples and standards.
absorption	<process name> is the *	absorption is the *	Photoelectron absorption is the dominant process for x-ray absorption up to energies of about 500 KeV.
absorption	<process name> is the *	absorption is the *	It can be found that the performance of absorption is the best when the nanofluid was ultrasonic vibrated for 30 min.
absorption	<process name> is the *	absorption is the *	In economics, absorption is the total demand for all final marketed goods and services by all economic agents resident in an economy, regardless of the origin of...
absorption	<process name> is the *	absorption is the *	Absorption is the phenomenon of a drug leaving its site of administration and the extent to which it is absorbed by the body.
absorption	<process name> is the *	absorption is the *	A good example of heat absorption is the traditional Christmas turkey.
absorption	<process name> is the *	absorption is the *	Absorption is the process in which a fluid is dissolved by a liquid or a solid (absorbent).
absorption	<process name> is the *	absorption is the *	Jan 20, 2015 ... absorption is the most established technology for CO2 removal due to its ability to effectively reduce CO2 concentration to the desired target.
absorption	<process name> is the *	absorption is the *	Chemical absorption is the most suitable method for the separation of CO2 from exhaust gases, when carbon dioxide has a low concentration (5-15% by...
absorption	<process name> is the *	absorption is the *	In pharmacology (and more specifically pharmacokinetics), absorption is the movement of a drug into the bloodstream.
absorption	<process name> is the *	absorption is the *	Jun 2, 2015 ... Absorption is the key feature (that a Wyckoffian cares about) of the Accumulation Phase.
absorption	<process name> is the process by which * into *	absorption is the process by which * into *	Feb 25, 2011 ... TERMINOLOGYABSORPTION (A) - Absorption is the process by which a liquid is drawn into The volume of air in the mix is: Air = 1.278 cu ft...
absorption	<process name> is the process by which * into *	absorption is the process by which * into *	ABSORPTION (A) - Absorption is the process by which a liquid is drawn into and tends ...
absorption	<process name> is the process by which * into *	absorption is the process by which * into *	The patient may be placed into a non-conscious state prior to .... Absorption is the process by which mechanical energy is converted into heat.
absorption	<process name> is the process by which * into *	absorption is the process by which * into *	Absorption is the process by which digested food are passed into different parts of a plant or an animal.
absorption	<process name> is the process by which * into *	absorption is the process by which * into *	Absorption is the process by which drug enters into the systemic circulation from the site of...
absorption	<process name> is the process by which * into *	absorption is the process by which * into *	The sodium chloride will leach into the water, along with other .... while absorption is the process by which that particle enters or goes into that...
absorption	<process name> is the process of *	absorption is the process of *	Shock absorption is the process of protecting a primary structure from an ambient force or external pressure load.
absorption	<process name> is the process of *	absorption is the process of *	Oct 31, 2013 ... Absorption is the process of acquiring information and learning about a host market and getting accustomed to that market.
absorption	<process name> is the process of *	absorption is the process of *	Opposing this absorption is the process of stimulated Brillouin scatter, which can enhance the reflectivity of the laser energy (see Fig.
absorption	<process name> is the process of *	absorption is the process of *	Simultaneous with the process of stimulated absorption is the process of stimulated emission, in which radiation at the transition frequency can induce a...
absorption	<process name> is the process of *	absorption is the process of *	Dec 10, 2012 ... Absorption is the process of transfer of a gaseous pollutant from a gas phase to a liquid phase [9].
absorption	<process name> is the process of *	absorption is the process of *	Absorption is the process of absorbing a fluid by another fluid to form a fluid solution.
absorption	<process name> is the process of *	absorption is the process of *	Apr 6, 2009 ... Absorption is the process of concrete suck or takes in a liquid by capillary attraction.
absorption	<process name> is the process of *	absorption is the process of *	Absorption is the process of gas uptake by a liquid (the absorbent) in which the gas is more or less soluble.
absorption	<process name> is the process of *	absorption is the process of *	Absorption is the process of swallowing (something) up.
absorption	<process name> is the process of *	absorption is the process of *	Absorption is the process of being drawn into a (usually larger) body, or substrate, and adsorption is the process of deposition upon a surface.
absorption	<process name> is the process of *	absorption is the process of *	"Jul 29, 2015 ... Absorption is the process of using a particular special move to ""catch"" an opposing non-physical projectile, or a teammate's projectile if Team..."
absorption	<process name> is the process of *	absorption is the process of *	May 14, 2015 ... Absorption is the process of moving a nutrient from the intestinal lumen into the bodies' circulation (from left to right in the figure below).
absorption	<process name> is the process of *	absorption is the process of *	Absorption is the process of incorporating a substance in one phase into another substance at a different phase (e.g.
absorption	<process name> is the process of *	absorption is the process of *	Absorption is the process of taking water, food, and oxygen into the cells.
absorption	<process name> is the process of *	absorption is the process of *	Opposing this absorption is the process of stimulated Brillouin scatter, which can enhance the reflectivity of the laser energy.
absorption	<process name> is the process of *	absorption is the process of *	Absorption: Node absorption is the process of removing a node from a Bayes net or decision net, and adjusting the remaining links and node tables so that...
absorption	<process name> is the process of * from * to *	absorption is the process of * from * to *	The oral drug absorption is the process of drug transport from GI tract to blood compartment.
absorption	<process name> is the process of * from * to *	absorption is the process of * from * to *	Dec 10, 2012 ... Absorption is the process of transfer of a gaseous pollutant from a gas phase to a liquid phase [9].
absorption	<process name> is the process of * from * to *	absorption is the process of * from * to *	Absorption is the process of movement of unchanged drug from the site of administration to systemic circulation or site of measurement i.e.
absorption	<process name> is the process of * from * to *	absorption is the process of * from * to *	Dec 10, 2012 ... Absorption is the process of transfer of a gaseous pollutant from a gas ...
absorption	<process name> is the process of * through 	absorption is the process of * through 	Absorption is the process of trapping moisture through a chemical process in which the desiccant un- dergoes a chemical change.
absorption	<process name> is the process of * through 	absorption is the process of * through 	Apr 21, 2010 ... For a person or animal, absorption is the process of a substance getting intothe body through the eyes, skin, stomach, intestines, or lungs.
absorption	<process name> is the process of * through 	absorption is the process of * through 	absorption is the process of absorption through the skin from topical drug applica- tion.
absorption	<process name> is the process of * through 	absorption is the process of * through 	Feb 14, 2010 ... Factors Affecting Solid Drug Absorption Physicochemical .... Absorption is the process of a substance entering the body through mouth.
absorption	<process name> is the process of * through 	absorption is the process of * through 	Dec 7, 2009 ... For a person or an animal, absorption is the process of asubstance getting into the body through the eyes, skin, stomach, intestines, or lungs.
absorption	<process name> occurs due to *	absorption occurs due to *	where ) is the wavelength at which absorption occurs due to the vibration; j is the reduced mass,.
absorption	<process name> occurs due to *	absorption occurs due to *	This is further substantiated by the present observation of a region in which selfabsorption occurs due to hydrogen at a temperature certainly no greater than 60...
absorption	<process name> occurs due to *	absorption occurs due to *	It is assumed that such absorption occurs due to the excitation of void.
absorption	<process name> occurs due to *	absorption occurs due to *	Thus, in the transmission of signal through the optical fibers, care has to be taken not to use the wavelength of light where absorption occurs due to OH ions and...
absorption	<process name> occurs due to *	absorption occurs due to *	The passive absorption occurs due to the activity of upper part of plant, such as shoot and leaves.
absorption	<process name> occurs due to *	absorption occurs due to *	Aug 27, 2012 ... Another possibility is that the absorption occurs due to some unknown particles that might exist high up in the pulsar's magnetosphere, akin to...
absorption	<process name> occurs due to *	absorption occurs due to *	These results demonstrate that strong absorption occurs due to the spoof SPPs, where responsivity is selectively enhanced and the detection...
absorption	<process name> occurs due to *	absorption occurs due to *	It is considered that an enhanced absorption occurs due to the excited-state absorption from 4I to 2H, its spectra matching the wavelength dependence of the...
absorption	<process name> occurs due to *	absorption occurs due to *	Moderate recoil absorption occurs due to bending.
absorption	<process name> occurs due to *	absorption occurs due to *	pressure oscillations during absorption occurs due to gas bubble oscillations, and other regimes of oscillations occur due to pressure oscillations in the whole...
absorption	<process name> occurs due to *	absorption occurs due to *	nonlinear nature of the interaction, absorption is confined to the focal volume inside ... Multiphoton absorption occurs due to the simultaneous absorption of...
absorption	<process name> occurs due to *	absorption occurs due to *	Feb 1, 2013 ... absorption occurs due to both decreased contact of the nutrients with the mucosa and decreased intestinal transit time.
absorption	<process name> occurs due to *	absorption occurs due to *	It is showed that regime of high-frequency pressure oscillations during absorption occurs due to gas bubble oscillations, and other regimes of oscillations occur...
absorption	<process name> occurs due to *	absorption occurs due to *	Jun 6, 2006 ... a simple plasma, where absorption occurs due to electron collisions.
absorption	<process name> occurs due to *	absorption occurs due to *	In severe TM, abnormal dietary iron absorption occurs due to ineffective erythropoiesis, increased body iron by 25 g per year and about double this amount...
absorption	<process name> occurs due to * of *	absorption occurs due to * of *	It is assumed that such absorption occurs due to the excitation of void.
absorption	<process name> occurs due to * of *	absorption occurs due to * of *	It is shown that for the interpretation ofthe continuum absorption spectra, of A type .... (14) The reduction of absorption occurs due to the simultaneous process of...
absorption	<process name> occurs due to * of *	absorption occurs due to * of *	This is the property of some materials that causes them to change in shape ... Absorption occurs due to loss of energy as heat, particularly in tissues that are...
absorption	<process name> occurs due to * of *	absorption occurs due to * of *	The passive absorption occurs due to the activity of upper part of plant, such as shoot and leaves.
absorption	<process name> occurs due to * of *	absorption occurs due to * of *	nonlinear nature of the interaction, absorption is confined to the focal volume inside ... Multiphoton absorption occurs due to the simultaneous absorption of...
absorption	<process name> occurs due to * of *	absorption occurs due to * of *	This enhanced optical absorption occurs due to.
absorption	<process name> occurs due to * of *	absorption occurs due to * of *	Feb 1, 2013 ... absorption occurs due to both decreased contact of the nutrients with the mucosa and decreased intestinal transit time.
absorption	<process name> occurs due to * of *	absorption occurs due to * of *	show that the resonance Raman process occurs at the M point in the Brillouin zone, ... optical absorption occurs due to a logarithmic Van-Hove singularity of...
absorption	<process name> occurs when *	absorption occurs when *	Light absorption occurs when atoms or molecules take up the energy of a photon of light, thereby reducing.
absorption	<process name> occurs when *	absorption occurs when *	Aug 19, 2005 ... Photosensitization after photon absorption occurs when a photoexcited chromophore does not return to the electronic ground state by...
absorption	<process name> occurs when *	absorption occurs when *	while physical absorption occurs when the body is in contact with media such ss molecular sieves, activated alumina, or silica gels.
absorption	<process name> occurs when *	absorption occurs when *	Absorption occurs when an object takes in the light wave.
absorption	<process name> occurs when *	absorption occurs when *	Absorption occurs when the body opens up at a cellular level to receive the nutrients from the higher planes of reality.
absorption	<process name> occurs when *	absorption occurs when *	Emotional Absorption occurs when one person takes in the emotional energy of another person.
absorption	<process name> occurs when *	absorption occurs when *	Optical depth describes how much absorption occurs when light travels through an absorbing medium (for example, a planetary atmosphere or a interstellar dust...
absorption	<process name> occurs when *	absorption occurs when *	Absorption occurs when molecular collisions take place before re-emission takes place, that is during the lifetime of the excited molecular state.
absorption	<process name> occurs when *	absorption occurs when *	Dec 1, 2000 ... maximum absorption occurs when where  is the perforate porosity and Mo is the bias flow Mach number.
absorption	<process name> occurs when *	absorption occurs when *	Absorption occurs when the food enters the body as the food molecules pass through a layer of cells and into the bodies tissues.
absorption	<process name> occurs when *	absorption occurs when *	Absorption occurs when the nutrients are carried across the lining of the intestine and into the blood stream.
absorption	<process name> occurs when *	absorption occurs when *	May 6, 2015 ... Light absorption occurs when atoms or molecules take up the energy of a photon of light, thereby reducing the transmission of light as it is...
absorption	<process name> occurs when *	absorption occurs when *	Jul 2, 2014 ... Absorption occurs when an object completely takes in the signal and retains some or all of it.
absorption	<process name> occurs when *	absorption occurs when *	Bess Dawson-Hughes, senior scientist at the USDA HNRCA, led a pilot study that suggests greater vitamin D absorption occurs when individuals take the...
absorption	<process name> occurs when *	absorption occurs when *	Increased dietary iron absorption occurs when the body's iron stores are depleted or when the bone marrow is under stress to produce new red...
absorption	<process name> occurs when *	absorption occurs when *	Absorption occurs when atoms pass through or enter a bulky material.
absorption	<process name> occurs when *	absorption occurs when *	Absorption occurs when photons from incident light hit atoms and molecules and cause them to vibrate.
acceleration	* is necessary for <process name>	* is necessary for acceleration	Thus, it is proposed that a wound substance induces VP generation in wheat leaves, at the same time a hydraulic wave is necessary for acceleration of the...
acceleration	* is necessary for <process name>	* is necessary for acceleration	Apr 7, 2004 ... normal lungs, cystic fibrosis transmembrane conductance regula- tor is necessary for acceleration of ffuid clearance in the edematous lung (5).
acceleration	* is necessary for <process name>	* is necessary for acceleration	Nov 30, 1992 ... steroids is necessary for acceleration of puberty in immature pigs.
acceleration	* is necessary for <process name>	* is necessary for acceleration	Software is necessary for acceleration data to be collected to recognize user activities and run real - time applications [29].
acceleration	* is necessary for <process name>	* is necessary for acceleration	Jun 29, 1992 ... relaxation, i.e., 0 < o < 1 is necessary for acceleration of the convergence.
acceleration	* is necessary for <process name>	* is necessary for acceleration	May 20, 2013 ... which is necessary for acceleration of high intensity proton beams.
acceleration	* is necessary for <process name>	* is necessary for acceleration	understood that force is necessary for acceleration of an object but neglected to identify even the most basic relation defining and quantifying acceleration and...
acceleration	* is necessary for <process name>	* is necessary for acceleration	Together, these results indicate that cMyBP-C is necessary for acceleration of relaxation either through direct phosphorylation of cMyBP-C or by slowing...
acceleration	<process name> causes *	acceleration causes *	Second acceleration causes splashing wave which is crushing shallow wave.
acceleration	<process name> causes *	acceleration causes *	If acceleration causes relative time dilation does the eventual deceleration reverse it?
acceleration	<process name> causes *	acceleration causes *	acceleration causes an excitation which takes some time to die down, and the deceleration has the reverse effect, suppressing all activity for an even longer.
acceleration	<process name> causes *	acceleration causes *	Oct 4, 2000 ... ... mass and acceleration are related in a certain regular way; it does not say that acceleration causes force, or that force causes acceleration.
acceleration	<process name> causes *	acceleration causes *	this acceleration causes inertial forces to occur in the direction perpendicular to the plane of Wall (A).
acceleration	<process name> causes *	acceleration causes *	This acceleration causes G-forces to be exerted on the driver and any passengers in the dragster.
acceleration	<process name> causes *	acceleration causes *	when a mass on the end of a string is swung in a circle, the inward centripetal acceleration causes an outward centrifugal force on the mass which causes a...
acceleration	<process name> causes *	acceleration causes *	Apr 1, 2013 ... Then the positive angular acceleration causes the object to have positive angular velocity which increases in magnitude as the object...
acceleration	<process name> causes *	acceleration causes *	Aug 20, 2014 ... Firefox 3.x, Chrome, IE, Safari all render pages the same, only Firefox 4 with hardware acceleration causes issues.
acceleration	<process name> depends on factors such as *	acceleration depends on factors such as *	Acceleration depends on factors such as power to weight.
acceleration	<process name> helps to *	acceleration helps to *	Jul 20, 2015 ... Hardware acceleration helps to increase overall performance in the Elvenar city.
acceleration	<process name> helps to *	acceleration helps to *	Such acceleration helps to improve cash flow for small businesses, increases liquidity, unlocks capital for the purposes of investment and growth, and increases...
acceleration	<process name> helps to *	acceleration helps to *	This is the complexity that Acceleration helps to simplify.
acceleration	<process name> helps to *	acceleration helps to *	This acceleration helps to increase the rotational velocity of the wheelset from.
acceleration	<process name> helps to *	acceleration helps to *	Aug 10, 2015 ... Hardware acceleration helps to increase overall performance in the Elvenar city.
acceleration	<process name> helps to *	acceleration helps to *	DB2 with BLU Acceleration provides next generation in-memory computing that meets ... BLU Acceleration helps to accelerate queries within these portals.
acceleration	<process name> helps to *	acceleration helps to *	GPU acceleration helps to speed up all the new effects.
acceleration	<process name> is caused by *	acceleration is caused by *	This acceleration is caused by positive feedback between the temperature, thermal buoyancy and effective viscosity of the material.
acceleration	<process name> is caused by *	acceleration is caused by *	However, it is nearly certain now that the observed secular acceleration is caused by tidal dissipation within the oceans and seas, the configuration of which is...
acceleration	<process name> is caused by *	acceleration is caused by *	But if the acceleration is caused by quintessence, the ending has yet to be written.
acceleration	<process name> is caused by *	acceleration is caused by *	The unexpected acceleration is caused by several Tesla faults: The close proximity of the use diametrically opposed peddles---My 56...
acceleration	<process name> is caused by *	acceleration is caused by *	The the onset of acceleration is caused by  settling into the local minimum.
acceleration	<process name> is caused by *	acceleration is caused by *	The acceleration is caused by electronic decoherence.
acceleration	<process name> is caused by *	acceleration is caused by *	Most devices use sensor fusion to figure out which parts of the acceleration is caused by gravity, for example by using a rotation sensor to calculate the gravity...
acceleration	<process name> is caused by *	acceleration is caused by *	acceleration is caused by changing the state from VA to LCS and the second jump is caused by changing back to VA.
acceleration	<process name> is caused by *	acceleration is caused by *	The tangential acceleration is caused by gravity.
acceleration	<process name> is caused by *	acceleration is caused by *	He believes the acceleration is caused by warm ocean water melting the glacier from below.
acceleration	<process name> is caused by *	acceleration is caused by *	Because the lateral acceleration is caused by steering input, the frequency of the lateral acceleration input is limited to 5 Hz.
acceleration	<process name> is caused by *	acceleration is caused by *	mass ratio for low acceleration is caused by leaving the work- ing medium at a higher orbital energy than corresponds to the altitude of the original orbit.
acceleration	<process name> is caused by *	acceleration is caused by *	Apr 11, 2009 ... ... societal fault, deep down their technical experts must know sudden acceleration is caused by mistaking the accelerator for the gas pedal.
acceleration	<process name> is caused by *	acceleration is caused by *	Jul 16, 2003 ... gravitational acceleration is caused by powering the space craft and its experiments, as well as by movement of crew members (see Kordyum...
acceleration	<process name> is caused by *	acceleration is caused by *	A 16.7% decrease of the buckling acceleration is caused by including the substructure.
acceleration	<process name> is caused by *	acceleration is caused by *	The first jump of the acceleration is caused by changing the state from VA to LCS and the second jump is caused by changing back to VA.
acceleration	<process name> is caused by *	acceleration is caused by *	This acceleration is caused by whatever is keeping the object moving in a circle.
acceleration	<process name> is caused by *	acceleration is caused by *	Mar 22, 2012 ... Because fast frequency acceleration is caused by temperature acceleration, the extrapolation error may be removed by adjusting the frequency...
acceleration	<process name> is caused by *	acceleration is caused by *	The unexpected acceleration is caused by several Tesla faults: The close proximity of the use diametrically opposed peddlesMy 56...
acceleration	<process name> is caused by *	acceleration is caused by *	However, the true physics is that when acceleration is caused by gravity the effect of that gravitational acceleration is precisely such as to cause the speed of...
acceleration	<process name> is caused by *	acceleration is caused by *	Sep 30, 2014 ... A brake override system assumes that sudden acceleration is caused by pressing the accelerator pedal at the same time as the brake pedal.
acceleration	<process name> is caused by *	acceleration is caused by *	Oct 25, 2013 ... ... evidence of another cause, the default conclusion is that sudden acceleration is caused by a defect in the car for which Toyota is responsible.
acceleration	<process name> is caused by *	acceleration is caused by *	Aug 12, 1996 ... sequent oscillation of the acceleration is caused by lon- gitudinal oscillation of the bogies at a natural frequency of approximately 20 Hz.
acceleration	<process name> is the *	acceleration is the *	Acceleration is the principal feature producing.
acceleration	<process name> is the *	acceleration is the *	Acceleration is the rate of change of velocity with time.
acceleration	<process name> is the *	acceleration is the *	"If what you mean by acceleration is the ""go-faster"" part, that's just the component of the acceleration due to the rocket thrust, which is (4.1 million..."
acceleration	<process name> is the *	acceleration is the *	Any time that the sign (+ or -) of the acceleration is the same as the sign of the velocity, the object will speed up.
acceleration	<process name> is the *	acceleration is the *	If you follow the scene you will know Acceleration is the front running event that pushes new bouncy music.
acceleration	<process name> is the *	acceleration is the *	An object's acceleration is the net result of any and all forces acting on the object, as...
acceleration	<process name> is the *	acceleration is the *	The unit of angular acceleration is the radian/s2.
acceleration	<process name> is the *	acceleration is the *	So, if angular acceleration is the cause of brain injury, then how is the brain protected by the helmet?
acceleration	<process name> is the *	acceleration is the *	Aug 12, 2013 ... From the calibration principle, we can see that the peak value of the angular acceleration is the corresponding amplitude position of the...
acceleration	<process name> is the *	acceleration is the *	Hockey Acceleration - Hockey Acceleration is the hottest growing trend in the USA and around the world.
acceleration	<process name> is the *	acceleration is the *	The underlying idea of the new GPU acceleration is the core md loop, as illustrated below.
